Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label,Timestamp
15612.291015625,24697.806640625,20439.642578125,59639.9296875,35623.18359375,46692.03515625,-1655955.0,62050.25390625,1,174747.54630259998
15639.203125,24711.26171875,20448.962890625,59672.20703125,35629.8671875,46717.3359375,-1656021.75,62078.6171875,1,174747.5626086
15596.130859375,24695.1015625,20431.685546875,59639.6171875,35633.015625,46692.52734375,-1655943.25,62039.9921875,1,174747.59053760002
15606.748046875,24705.96484375,20439.396484375,59667.0,35637.0390625,46708.8203125,-1656007.875,62045.06640625,1,174747.5945376
15619.33203125,24734.015625,20452.650390625,59729.78515625,35668.734375,46746.328125,-1656049.375,62085.58984375,1,174747.6431443
15613.7890625,24717.654296875,20441.498046875,59695.16015625,35654.5625,46726.6796875,-1656007.25,62094.2421875,1,174747.6471443
15562.2236328125,24696.12890625,20428.33203125,59652.0234375,35637.2421875,46696.8828125,-1655947.75,62047.52734375,1,174747.65114429998
15552.232421875,24690.005859375,20425.783203125,59650.6796875,35626.9375,46690.06640625,-1655985.625,62019.25,1,174747.65514429996
15588.0615234375,24699.974609375,20431.70703125,59682.93359375,35628.34375,46705.66796875,-1656071.625,62045.8515625,1,174747.65914429995
15597.830078125,24700.3984375,20448.58203125,59656.5390625,35627.20703125,46702.78515625,-1655967.625,62052.33203125,1,174747.67126240002
15572.5947265625,24699.7734375,20445.453125,59652.671875,35630.671875,46698.78515625,-1655957.375,62021.64453125,1,174747.6752624
15597.29296875,24703.884765625,20443.44140625,59651.53125,35621.83984375,46697.64453125,-1656013.75,62028.4140625,1,174747.72580400002
15629.1220703125,24713.25,20448.13671875,59690.46875,35625.125,46711.8828125,-1656103.125,62068.0234375,1,174747.729804
15631.8935546875,24703.751953125,20437.83203125,59687.5390625,35621.86328125,46696.66015625,-1656021.25,62097.640625,1,174747.752039
15607.552734375,24698.208984375,20438.412109375,59657.0078125,35629.59765625,46687.16015625,-1655962.75,62077.4765625,1,174747.756039
15582.8759765625,24708.646484375,20442.279296875,59641.25,35623.91796875,46685.75390625,-1655952.875,62044.8671875,1,174747.8075669
15595.1923828125,24718.705078125,20446.99609375,59659.6015625,35620.76953125,46704.5078125,-1656020.125,62046.453125,1,174747.8115669
15633.369140625,24726.3046875,20448.158203125,59689.9765625,35624.48046875,46718.5,-1656069.25,62092.3203125,1,174747.81556689998
15616.4482421875,24705.0703125,20436.267578125,59688.6796875,35610.75390625,46704.55078125,-1656078.125,62074.50390625,1,174747.8355776
15625.9482421875,24706.478515625,20438.591796875,59677.6171875,35616.36328125,46701.6015625,-1656026.125,62092.609375,1,174747.83957759998
15618.572265625,24715.12890625,20444.4921875,59661.72265625,35634.11328125,46692.2578125,-1655973.0,62078.484375,1,174747.8627763
15591.1240234375,24710.009765625,20444.4921875,59648.37890625,35629.53125,46691.09375,-1655945.625,62041.19921875,1,174747.86677629998
15600.66796875,24716.1796875,20442.32421875,59664.09375,35623.00390625,46708.015625,-1656010.0,62054.296875,1,174747.9199273
15626.3505859375,24724.11328125,20443.107421875,59694.2890625,35618.48828125,46718.4296875,-1656073.5,62091.42578125,1,174747.9239273
15623.9365234375,24718.123046875,20440.06640625,59669.5703125,35621.26171875,46711.48046875,-1656007.0,62104.72265625,1,174747.92792729998
15620.5390625,24717.05078125,20433.427734375,59675.046875,35617.4609375,46708.484375,-1656038.75,62088.1171875,1,174747.946673
15597.583984375,24704.779296875,20425.0234375,59644.6484375,35610.48828125,46694.71484375,-1655991.75,62072.671875,1,174747.95067299998
15584.150390625,24700.82421875,20428.154296875,59628.0625,35608.921875,46680.25390625,-1655958.25,62047.6171875,1,174748.0344457
15591.6162109375,24712.06640625,20436.826171875,59650.6796875,35605.390625,46695.23046875,-1656013.25,62043.14453125,1,174748.0384457
15604.37890625,24705.740234375,20422.251953125,59691.51953125,35620.5234375,46695.20703125,-1656096.375,62061.40625,1,174748.0614302
15612.0234375,24703.796875,20424.263671875,59679.0,35622.625,46698.203125,-1656032.75,62080.2265625,1,174748.0654302
15607.306640625,24697.873046875,20416.396484375,59653.7421875,35613.66015625,46677.08203125,-1655948.0,62075.4453125,1,174748.09065690002
15582.048828125,24693.603515625,20411.232421875,59647.08203125,35616.3203125,46668.9453125,-1655928.125,62038.78515625,1,174748.0946569
